Vertices,Density,MKL,MKL_BW,MULTIROW,MULTIROW_BW,ELLPACK,ELLPACK_BW,TRANSPOSED_ELLPACK,TRANSPOSED_ELLPACK_BW
32768,2.7,4.12846,0.0278083,4.44137,0.0258492,4.9433,0.026356,4.95291,0.0263048
32768,2.8,4.26499,0.0278976,4.59757,0.0258795,5.15782,0.0261492,5.13354,0.0262729
32768,2.9,4.43417,0.027775,4.80226,0.0256461,5.34546,0.0261386,5.32056,0.0262609
32768,3,4.55424,0.0279586,4.93695,0.0257913,5.54533,0.0262128,5.56388,0.0261254
65536,0.1,0.547198,0.0328172,0.635906,0.0282393,0.847116,0.0324928,0.853258,0.0322589
65536,0.2,1.13357,0.0309745,1.24375,0.0282304,1.64407,0.0294978,1.64195,0.029536
65536,0.3,1.79831,0.0290547,1.94253,0.0268977,2.50874,0.0276905,2.5026,0.0277584
65536,0.4,2.43185,0.0285251,2.66252,0.0260537,3.21496,0.0272339,3.21628,0.0272228
65536,0.5,3.12869,0.0276384,3.47134,0.0249103,4.09359,0.0266397,4.06411,0.0268329
65536,0.6,3.71732,0.0278579,4.11401,0.0251717,4.80616,0.0262899,4.81279,0.0262537
65536,0.7,4.36733,0.0276196,4.8017,0.0251211,5.51187,0.0262055,5.51601,0.0261858
65536,0.8,5.0459,0.0272845,5.49938,0.0250346,6.35404,0.0259914,6.33478,0.0260705
65536,0.9,5.63951,0.0274336,6.28207,0.0246276,7.00415,0.0260117,6.99497,0.0260459
65536,1,6.28806,0.0273105,6.94783,0.0247171,8.00349,0.0257117,7.97777,0.0257946
65536,1.1,6.9598,0.0271172,7.53655,0.025042,8.4582,0.0256621,8.38677,0.0258807
65536,1.2,7.62406,0.0269817,8.22493,0.0250106,9.11984,0.0257549,9.14994,0.0256702
65536,1.3,8.29749,0.0268369,8.937,0.0249165,9.94026,0.0255808,9.9426,0.0255748
65536,1.4,8.85071,0.0270744,9.53952,0.0251194,10.6304,0.0256463,10.6983,0.0254835
65536,1.5,9.56316,0.0268277,10.2921,0.0249275,11.6563,0.0255931,11.6732,0.0255559
65536,1.6,10.2087,0.0267888,10.9948,0.0248733,12.0267,0.0256331,12.0866,0.025506
65536,1.7,10.815,0.0268493,11.6563,0.0249116,12.742,0.0256342,12.8057,0.0255068
65536,1.8,11.4101,0.0269287,12.2618,0.0250581,13.6156,0.0254336,13.6235,0.0254187
65536,1.9,12.052,0.0268933,12.9319,0.0250634,14.5048,0.0254647,14.497,0.0254785
65536,2,12.707,0.0268332,13.62,0.0250346,14.9521,0.0253517,14.8865,0.0254634
65536,2.1,13.3384,0.0268249,14.3406,0.0249503,15.809,0.0254865,15.8273,0.0254571
65536,2.2,13.9702,0.0268153,15.0406,0.0249069,16.3669,0.0254346,16.4554,0.0252977
65536,2.3,14.5392,0.0269213,15.664,0.0249882,17.0278,0.0254019,17.05,0.0253688
65536,2.4,15.1584,0.0269281,16.3647,0.0249431,17.8843,0.0253872,17.9114,0.0253488
65536,2.5,15.8331,0.0268399,17.0702,0.0248947,18.4956,0.0253135,18.4359,0.0253956
65536,2.6,16.4889,0.0267884,17.7463,0.0248903,19.2111,0.0253532,19.2292,0.0253294
65536,2.7,17.0679,0.0268596,18.4303,0.0248742,19.9965,0.0253013,19.9798,0.0253225
65536,2.8,17.6298,0.0269518,19.0373,0.0249592,20.8497,0.0252718,20.8624,0.0252565
65536,2.9,18.3223,0.0268441,19.8374,0.0247939,21.2078,0.0253643,21.2781,0.0252805
65536,3,18.9898,0.0267788,20.6145,0.0246682,21.8317,0.0253478,21.8359,0.025343
131072,0.1,2.58825,0.027145,2.66157,0.0263972,3.70598,0.0268794,3.66293,0.0271954
131072,0.2,5.1899,0.0267584,5.59559,0.0248184,6.78561,0.0261155,6.76204,0.0262065
131072,0.3,7.74965,0.0267657,8.58544,0.02416,10.0445,0.0257851,10.0668,0.025728
131072,0.4,10.3167,0.0267435,11.2633,0.024496,13.2387,0.0256229,13.2904,0.0255233
131072,0.5,12.8969,0.0266973,14.2506,0.0241614,15.9066,0.0254785,15.9201,0.0254568
131072,0.6,15.476,0.026664,16.7722,0.0246034,18.6404,0.0253982,18.6439,0.0253934
131072,0.7,18.0556,0.0266361,19.5474,0.0246033,21.8698,0.0253396,21.8787,0.0253293
131072,0.8,20.6598,0.02658,22.4952,0.0244113,24.6077,0.0253539,24.7061,0.025253
131072,0.9,23.1958,0.0266116,25.0816,0.0246107,27.7211,0.0252109,27.6437,0.0252816
131072,1,25.8097,0.0265537,27.9422,0.0245272,30.7787,0.0252275,30.7663,0.0252377
131072,1.1,28.3748,0.02655,30.6017,0.0246179,33.5684,0.0251614,33.5555,0.0251711
131072,1.2,30.8204,0.0266472,33.2994,0.0246634,36.5301,0.0250733,36.272,0.0252518
131072,1.3,33.4211,0.0266041,36.0013,0.0246974,39.2311,0.0251913,39.2389,0.0251863
131072,1.4,35.955,0.0266147,38.7657,0.0246851,42.1307,0.0251749,42.1321,0.025174
131072,1.5,38.4921,0.0266204,41.7751,0.0245284,44.8304,0.0251207,44.8053,0.0251348
131072,1.6,41.1697,0.0265326,44.5539,0.0245172,49.1072,0.0251856,48.989,0.0252464
131072,1.7,43.777,0.0264963,47.133,0.0246097,50.3709,0.0251262,50.4028,0.0251103
131072,1.8,46.177,0.0265814,49.6523,0.0247209,53.2394,0.0251019,53.0953,0.02517
131072,1.9,48.766,0.0265533,52.3966,0.0247134,56.2322,0.0250619,56.113,0.0251152
131072,2,51.2638,0.0265745,55.0453,0.0247489,58.775,0.0251194,58.7429,0.0251332
131072,2.1,53.8502,0.0265485,57.8355,0.0247191,61.9168,0.0250896,61.9966,0.0250573
131072,2.2,56.3422,0.0265679,60.6316,0.0246884,64.2315,0.0250914,64.0845,0.025149
131072,2.3,59.0329,0.0264951,64.1459,0.0243832,67.6672,0.0250649,67.7568,0.0250318
131072,2.4,61.462,0.0265402,67.3285,0.0242277,70.1809,0.0251234,70.1658,0.0251288
131072,2.5,64.0426,0.0265178,69.014,0.0246076,73.3865,0.0251047,73.3119,0.0251303
131072,2.6,66.5426,0.0265283,71.2116,0.024789,75.2943,0.0250953,75.1358,0.0251483
131072,2.7,68.9381,0.0265772,73.7713,0.0248359,78.4207,0.0251177,78.424,0.0251167
131072,2.8,71.4281,0.026587,76.4579,0.024838,80.8398,0.0250925,80.6541,0.0251502
131072,2.9,73.977,0.0265732,79.1959,0.0248221,84.0566,0.025099,84.1099,0.0250831
131072,3,76.7006,0.0264996,82.312,0.0246931,86.2771,0.0251032,86.4363,0.025057
